species_id,provider_id,botanical_name,attribute_name,attribute_value,evidence_confidence,source_url,source_id,review_status,notes,approval_id
BCNPPD-0001,PROV-NWM,Achillea millefolium,description,"The most humble, resilient and cheerful meadow wildflower. Like self heal and cinquefoil, yarrow is a defining meadow plant. Thriving in disturbed sites and in wet or dry soils, yarrow competes well with grass and defies deer to eat it. The only thing this long blooming wildflower does not cope well with is shade. On warm summer mornings, the unpretentious flowers host fantastically small syrphid flies, ants, and tiny Lasioglossum bees. Look closer and you may find the most perfectly camouflaged miniature predators: tiny ghostly white crab spiders and motionless ambush bugs. This highly aromatic plant is packed with flavinoids, resins, and essential oils, all of which have long made it popular in folk medicine. These same aromatics make it an interesting fresh cooking herb, although it can quickly overwhelm and it's best in small doses. Add a small amount to fresh dill for excellent homemade gravlax. Or mix a little with lots of more neutral greens such as parsley or nettle for a sublime pesto. Plant this for natural pest control around the garden. Plant it for Achilles who used it to staunch the wounds of his soldiers in battle. Plant it because it is one of our few native wildflowers that refuses to buckle under the pressure of introduced grasses and weeds. Approximately 2000 seeds. (0.8 grams)",Pending review,https://northwestmeadowscapes.com/products/western-yarrow-achillea-millefolium,SRC-0354,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0198-ATTR-03
BCNPPD-0001,PROV-NWM,Achillea millefolium,product title,Western Yarrow Seeds (Achillea millefolium),Pending review,https://northwestmeadowscapes.com/products/western-yarrow-achillea-millefolium,SRC-0354,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0198-ATTR-01
BCNPPD-0001,PROV-NWM,Achillea millefolium,provider observation type,product_title,Pending review,https://northwestmeadowscapes.com/products/western-yarrow-achillea-millefolium,SRC-0354,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0198-ATTR-02
BCNPPD-0001,PROV-OAKSUMMIT,Achillea millefolium,description,"A popular perennial plant with clusters of small flowers, and spreads through rhizomes. Good for pollinators, butterfly gardens A good addition to any food forest or perennial flower garden 6-36"" (up to 1 meter) tall Package Contains: 150+ Seeds Seed Source: Oregon 2021 Hardiness Zone: 3 Stratification: None required Growing: Direct sow in early spring, requires light for germination. Surface sow and keep seedbed moist.",Pending review,https://oaksummitnursery.ca/products/yarrow-seeds-achillea-millefolium-common-yarrow-plumajillo-150-seeds,SRC-0403,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PROV-OAKSUMMIT-PA-AUTO-0021-ATTR-05
BCNPPD-0001,PROV-OAKSUMMIT,Achillea millefolium,product title,"White Yarrow Seeds (Achillea millefolium, Common Yarrow, Plumajillo) - 150+ Seeds",Pending review,https://oaksummitnursery.ca/products/yarrow-seeds-achillea-millefolium-common-yarrow-plumajillo-150-seeds,SRC-0403,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PROV-OAKSUMMIT-PA-AUTO-0021-ATTR-01
BCNPPD-0001,PROV-OAKSUMMIT,Achillea millefolium,product type,Seeds,Pending review,https://oaksummitnursery.ca/products/yarrow-seeds-achillea-millefolium-common-yarrow-plumajillo-150-seeds,SRC-0403,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PROV-OAKSUMMIT-PA-AUTO-0021-ATTR-02
BCNPPD-0001,PROV-OAKSUMMIT,Achillea millefolium,provider observation type,product_title,Pending review,https://oaksummitnursery.ca/products/yarrow-seeds-achillea-millefolium-common-yarrow-plumajillo-150-seeds,SRC-0403,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PROV-OAKSUMMIT-PA-AUTO-0021-ATTR-04
BCNPPD-0001,PROV-OAKSUMMIT,Achillea millefolium,tags,"common_yarrow, native_seeds, yarrow, yarrow_seeds",Pending review,https://oaksummitnursery.ca/products/yarrow-seeds-achillea-millefolium-common-yarrow-plumajillo-150-seeds,SRC-0403,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PROV-OAKSUMMIT-PA-AUTO-0021-ATTR-03
BCNPPD-0004,PROV-NWM,Camassia quamash,description,"Native across much of the West, the stunning violet-blue flowers of camas historically lit up prairies, marshes, and oak savannas in the spring. When grown from seed, camas can take several years to grow into a large enough plant for flowers to appear. Bulbs jumpstart this process and can be combined with seed to create large areas that eventually become more and more filled with this spectacular species. Camas once dominated open clearings maintained by innovative native people who carefully tended large grasslands to maintain optimal growing conditions, in ways that we now only barely can comprehend. Historically bulbs were dug in the spring and pit roasted to breakdown the complex carbohydrates into simpler sweet caramelized sugars, providing a staple food for thousands of years. Camas is lily-like in appearance with grassy leaves, typically growing up to a foot and a half tall, and it prefers loose, fertile soils. As is normal for soil-dwelling plant parts, bulbs may have some light surface mold on them -- this is normal and not harmful to the plant. Pre-order for fall shipping (beginning in early November -- on a first order in -- first order out basis). Available in units of approximately 100 - or - 200 bulbs. PLEASE NOTE ALL OF THE FOLLOWING: S hipping begins in late October through December. Orders that include both seeds and bulbs may ship in two separate stages (with seeds shipping asap and bulbs shipping in the fall). We try to add additional later harvest bulb species to our inventory as quickly as we can, but if you already have an active bulb order, please email us if you would like to add additional species to it. This is an annual herculean effort for us as a small business -- we are unable to accommodate specific shipping dates. We love hearing from you, but emailing us to inquire about order status in the middle of the shipping season slows your order down -- we're a small team with limited capacity! If you have not received your order by the late stage of our shipping window (early December), please do reach out for an update. Due to phytosanitary restrictions, we are unable to ship bulbs to Canada.",Pending review,https://northwestmeadowscapes.com/products/common-camas-bulbs-camassia-quamash,SRC-0243,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0088-ATTR-03
BCNPPD-0004,PROV-NWM,Camassia quamash,product title,Common Camas Bulbs (Camassia quamash) - Pre Order for Nov 2026 Shipping,Pending review,https://northwestmeadowscapes.com/products/common-camas-bulbs-camassia-quamash,SRC-0243,pending_review,Auto-approved attribute row via apply_provider_sandbox.,PA-AUTO-0088-ATTR-01
