species_id,provider_id,botanical_name,common_name,candidate_status,vancouver_eligibility_status,source_url,source_id,product_url,product_category,candidate_reason,review_status,notes,approval_id
BCNPPD-0001,PROV-NWM,Achillea millefolium,Western Yarrow,candidate,needs_northward_review,https://northwestmeadowscapes.com/products/western-yarrow-achillea-millefolium,SRC-0354,https://northwestmeadowscapes.com/products/western-yarrow-achillea-millefolium,,Requires Vancouver/BC suitability review before eligibility.,pending_review,Source-sweep catalogue observation; pending user review.,PA-AUTO-0198
BCNPPD-0001,PROV-OAKSUMMIT,Achillea millefolium,White Yarrow,candidate,needs_northward_review,https://oaksummitnursery.ca/products/yarrow-seeds-achillea-millefolium-common-yarrow-plumajillo-150-seeds,SRC-0403,https://oaksummitnursery.ca/products/yarrow-seeds-achillea-millefolium-common-yarrow-plumajillo-150-seeds,Seeds,Provider catalogue product title parsed as a botanical species candidate.,pending_review,Source-sweep catalogue observation; pending user review.,PROV-OAKSUMMIT-PA-AUTO-0021
BCNPPD-0004,PROV-NWM,Camassia quamash,Common Camas,candidate,needs_northward_review,https://northwestmeadowscapes.com/products/common-camas-bulbs-camassia-quamash,SRC-0243,https://northwestmeadowscapes.com/products/common-camas-bulbs-camassia-quamash,,Requires Vancouver/BC suitability review before eligibility.,pending_review,Source-sweep catalogue observation; pending user review.,PA-AUTO-0088
BCNPPD-0005,PROV-NWM,Aquilegia formosa,Western Columbine,candidate,needs_northward_review,https://northwestmeadowscapes.com/products/western-columbine-aquilegia-formosa,SRC-0356,https://northwestmeadowscapes.com/products/western-columbine-aquilegia-formosa,,Requires Vancouver/BC suitability review before eligibility.,pending_review,Source-sweep catalogue observation; pending user review.,PA-AUTO-0200
BCNPPD-0006,PROV-NWM,Tellima grandiflora,Fringecup,candidate,needs_northward_review,https://northwestmeadowscapes.com/products/fringecup-seeds-tellima-grandiflora,SRC-0306,https://northwestmeadowscapes.com/products/fringecup-seeds-tellima-grandiflora,,Requires Vancouver/BC suitability review before eligibility.,pending_review,Source-sweep catalogue observation; pending user review.,PA-AUTO-0150
BCNPPD-0006,PROV-PREMIER,Tellima grandiflora,Fringe Cup,candidate,candidate,https://premierpacificseeds.ca/products/bc-native-species/,SRC-0378,https://premierpacificseeds.ca/products/bc-native-species/,BC Native Species,Premier Pacific WordPress product page botanical species observation parsed as a review-only species candidate.,pending_review,WordPress product-page source-sweep observation; pending user review.,PROV-PREMIER-PA-AUTO-0049
BCNPPD-0011,PROV-NWM,Allium cernuum,Nodding Pink Onion,candidate,needs_northward_review,https://northwestmeadowscapes.com/products/nodding-pink-onion-seeds-allium-cernuum,SRC-0320,https://northwestmeadowscapes.com/products/nodding-pink-onion-seeds-allium-cernuum,,Requires Vancouver/BC suitability review before eligibility.,pending_review,Source-sweep catalogue observation; pending user review.,PA-AUTO-0164
BCNPPD-0012,PROV-NWM,Eriophyllum lanatum,Oregon Sunshine / Wooly Sunflower,candidate,needs_northward_review,https://northwestmeadowscapes.com/products/oregon-sunshine-eriophyllum-lanatum,SRC-0352,https://northwestmeadowscapes.com/products/oregon-sunshine-eriophyllum-lanatum,,Requires Vancouver/BC suitability review before eligibility.,pending_review,Source-sweep catalogue observation; pending user review.,PA-AUTO-0196
BCNPPD-0012,PROV-PREMIER,Eriophyllum lanatum,Oregon Sunshine / Woolly Sunflower,candidate,candidate,https://premierpacificseeds.ca/products/bc-native-species/,SRC-0378,https://premierpacificseeds.ca/products/bc-native-species/,BC Native Species,Premier Pacific WordPress product page botanical species observation parsed as a review-only species candidate.,pending_review,WordPress product-page source-sweep observation; pending user review.,PROV-PREMIER-PA-AUTO-0045
BCNPPD-0012,PROV-WCS,Eriophyllum lanatum,Common Woolly Sunflower,candidate,needs_review,https://www.westcoastseeds.com/products/common-woolly-sunflower,SRC-0375,https://www.westcoastseeds.com/products/common-woolly-sunflower,Flower Seeds,West Coast Seeds product body parsed as a review-only species candidate.,pending_review,Source-sweep catalogue observation; pending user review.,PROV-WCS-PA-AUTO-0020
