"submitted_botanical_name","submitted_common_name","disposition","species_id","accepted_botanical_name","notes"
"Anaphalis margaritacea","Pearly Everlasting","added_candidate","BCNPPD-0021","Anaphalis margaritacea","Added as an unreviewed Vancouver PoC expansion candidate."
"Aquilegia formosa","","already_present","BCNPPD-0005","Aquilegia formosa","Matched existing Vancouver PoC row after normalization."
"Camassia quamash","","already_present","BCNPPD-0004","Camassia quamash","Matched existing Vancouver PoC row after normalization."
"Chamaenerion angustifolium","","added_candidate","BCNPPD-0022","Chamaenerion angustifolium","Added as an unreviewed Vancouver PoC expansion candidate."
"Claytonia sibirica","","added_candidate","BCNPPD-0023","Claytonia sibirica","Added as an unreviewed Vancouver PoC expansion candidate."
"Collinsia grandiflora","","added_candidate","BCNPPD-0024","Collinsia grandiflora","Added as an unreviewed Vancouver PoC expansion candidate."
"Cornus sericea","Red Osier Dogwood","added_candidate","BCNPPD-0025","Cornus sericea","Added as an unreviewed Vancouver PoC expansion candidate."
"Dicentra formosa","","already_present","BCNPPD-0010","Dicentra formosa","Matched existing Vancouver PoC row after normalization."
"Erigeron philadelphicus","Philadelphia Fleabane","added_candidate","BCNPPD-0026","Erigeron philadelphicus","Added as an unreviewed Vancouver PoC expansion candidate."
"Eriophyllum lanatum","","already_present","BCNPPD-0012","Eriophyllum lanatum","Matched existing Vancouver PoC row after normalization."
"Fragaria chiloensis","Coastal Strawberry","added_candidate","BCNPPD-0027","Fragaria chiloensis","Added as an unreviewed Vancouver PoC expansion candidate."
"Gaultheria shallon","Salal","added_candidate","BCNPPD-0028","Gaultheria shallon","Added as an unreviewed Vancouver PoC expansion candidate."
"Geum macrophyllum","Large-leaved Avens","added_candidate","BCNPPD-0029","Geum macrophyllum","Added as an unreviewed Vancouver PoC expansion candidate."
"Grindelia stricta","","added_candidate","BCNPPD-0030","Grindelia stricta","Added as an unreviewed Vancouver PoC expansion candidate."
"Holodiscus discolor","Ocean Spray","added_candidate","BCNPPD-0031","Holodiscus discolor","Added as an unreviewed Vancouver PoC expansion candidate."
"Lathyrus japonicus","Beach Pea","added_candidate","BCNPPD-0032","Lathyrus japonicus","Added as an unreviewed Vancouver PoC expansion candidate."
"Lomatium nudicaule","","already_present","BCNPPD-0013","Lomatium nudicaule","Matched existing Vancouver PoC row after normalization."
"Lonicera involucrata","Twinberry","added_candidate","BCNPPD-0033","Lonicera involucrata","Added as an unreviewed Vancouver PoC expansion candidate."
"Lupinus bicolor","Lindley's Lupine","added_candidate","BCNPPD-0034","Lupinus bicolor","Added as an unreviewed Vancouver PoC expansion candidate."
"Mahonia nervosa","","already_present","BCNPPD-0018","Mahonia nervosa","Matched existing Vancouver PoC row after normalization."
"Maianthemum dilatatum","","already_present","BCNPPD-0019","Maianthemum dilatatum","Matched existing Vancouver PoC row after normalization."
"Malus fusca","Pacific Crab Apple","added_candidate","BCNPPD-0035","Malus fusca","Added as an unreviewed Vancouver PoC expansion candidate."
"Oemleria cerasiformis","Osoberry","added_candidate","BCNPPD-0036","Oemleria cerasiformis","Added as an unreviewed Vancouver PoC expansion candidate."
"Physocarpus capitatus","Pacific Ninebark","added_candidate","BCNPPD-0037","Physocarpus capitatus","Added as an unreviewed Vancouver PoC expansion candidate."
"Plectritis congesta","","already_present","BCNPPD-0014","Plectritis congesta","Matched existing Vancouver PoC row after normalization."
"Prunella vulgaris var. lanceolata","","already_present","BCNPPD-0003","Prunella vulgaris var. lanceolata","Matched existing Vancouver PoC row after normalization."
"Ribes sanguineum","Red-flowering Currant","added_candidate","BCNPPD-0038","Ribes sanguineum","Added as an unreviewed Vancouver PoC expansion candidate."
"Rosa nutkana","Nootka Rose","added_candidate","BCNPPD-0039","Rosa nutkana","Added as an unreviewed Vancouver PoC expansion candidate."
"Rubus parviflorus","Thimbleberry","added_candidate","BCNPPD-0040","Rubus parviflorus","Added as an unreviewed Vancouver PoC expansion candidate."
"Rubus spectabilis","Salmonberry","added_candidate","BCNPPD-0041","Rubus spectabilis","Added as an unreviewed Vancouver PoC expansion candidate."
"Salix discolor","Pussy Willow","added_candidate","BCNPPD-0042","Salix discolor","Added as an unreviewed Vancouver PoC expansion candidate."
"Sanicula crassicaulis","Pacific Sanicle","added_candidate","BCNPPD-0043","Sanicula crassicaulis","Added as an unreviewed Vancouver PoC expansion candidate."
"Solidago lepida","Canada Goldenrod","added_candidate","BCNPPD-0044","Solidago lepida","Added as an unreviewed Vancouver PoC expansion candidate."
"Symphoricarpos albus","Snowberry","added_candidate","BCNPPD-0045","Symphoricarpos albus","Added as an unreviewed Vancouver PoC expansion candidate."
"Symphyotrichum subspicatum","","added_candidate","BCNPPD-0046","Symphyotrichum subspicatum","Added as an unreviewed Vancouver PoC expansion candidate."
"Tellima grandiflora","","already_present","BCNPPD-0006","Tellima grandiflora","Matched existing Vancouver PoC row after normalization."
"Tiarella trifoliata","","already_present","BCNPPD-0007","Tiarella trifoliata","Matched existing Vancouver PoC row after normalization."
"Vaccinium ovalifolium","Oval-leaved Blueberry","added_candidate","BCNPPD-0047","Vaccinium ovalifolium","Added as an unreviewed Vancouver PoC expansion candidate."
"Vaccinium ovatum","Evergreen Huckleberry","added_candidate","BCNPPD-0048","Vaccinium ovatum","Added as an unreviewed Vancouver PoC expansion candidate."
